original_label,output_label,row_id
director,director,1010
performer,performer,102
characters,characters,1025
director,director,1026
director,director,1040
performer,performer,1047
director,performer,1058
director,director,1059
performer,performer,1060
performer,performer,1065
characters,publisher,1067
publisher,publisher,1071
performer,publisher,1074
publisher,publisher,1075
characters,characters,1090
characters,characters,1098
publisher,publisher,1099
characters,publisher,1105
characters,characters,1111
characters,performer,1112
performer,performer,1119
publisher,publisher,1120
performer,performer,1121
director,director,113
director,director,1139
performer,characters,1144
performer,performer,1156
characters,characters,1167
publisher,publisher,1174
characters,characters,1178
characters,characters,118
publisher,publisher,1181
characters,publisher,1191
performer,performer,1206
characters,characters,121
characters,characters,1216
publisher,publisher,1218
director,director,1220
publisher,publisher,1238
publisher,publisher,1239
publisher,publisher,1242
director,director,1260
performer,characters,1268
director,director,1271
performer,performer,1273
performer,performer,1292
director,director,13
publisher,performer,130
characters,publisher,1304
publisher,publisher,131
performer,performer,1317
director,director,1329
performer,performer,1330
performer,director,1334
characters,director,1340
publisher,publisher,1357
performer,performer,1358
performer,performer,1365
director,director,1369
publisher,performer,1370
director,director,1374
characters,publisher,1375
publisher,publisher,1378
director,director,1381
characters,director,1389
publisher,publisher,14
publisher,publisher,1405
director,director,1410
characters,characters,1427
performer,performer,143
publisher,director,1432
characters,characters,1443
characters,characters,1444
publisher,publisher,1447
director,director,1452
director,director,1456
director,performer,1459
director,director,1469
performer,performer,1471
performer,performer,1472
publisher,publisher,1482
publisher,publisher,1501
director,director,1503
performer,performer,151
performer,performer,1514
publisher,publisher,1517
director,director,1519
director,director,1522
publisher,publisher,1531
characters,publisher,1535
director,director,1538
characters,characters,154
performer,performer,1556
publisher,publisher,1559
director,director,1586
performer,performer,1590
characters,characters,1593
director,director,1596
publisher,publisher,1604
performer,performer,1606
publisher,publisher,1614
performer,performer,1616
director,director,1621
characters,publisher,1645
director,director,1647
performer,performer,1649
performer,performer,1652
director,director,1668
characters,performer,1669
publisher,publisher,1670
publisher,director,1671
characters,performer,1691
publisher,performer,1702
characters,characters,1709
director,director,1721
performer,performer,1724
characters,performer,1728
director,director,1747
publisher,publisher,1749
performer,performer,1752
director,director,1753
publisher,publisher,1772
director,director,1774
publisher,publisher,1777
director,director,1782
director,director,1798
performer,performer,1800
performer,performer,1801
performer,performer,1827
characters,director,1844
publisher,publisher,1850
publisher,publisher,1856
performer,publisher,1865
publisher,characters,1878
publisher,publisher,1889
director,director,1894
performer,performer,190
characters,director,1906
director,director,1908
characters,director,1910
publisher,characters,1913
performer,publisher,1923
director,publisher,1937
director,director,1939
performer,characters,1940
characters,performer,1942
performer,performer,1952
characters,publisher,196
director,director,1961
performer,performer,1972
publisher,publisher,1982
performer,publisher,1985
characters,director,1986
performer,performer,1988
characters,characters,1992
performer,performer,2013
performer,performer,2017
publisher,publisher,2020
director,director,2029
director,director,2033
publisher,publisher,2036
characters,characters,2039
publisher,publisher,2040
director,director,2047
publisher,performer,2056
director,director,2058
characters,performer,2061
characters,publisher,2064
characters,performer,2066
performer,performer,207
characters,characters,2092
publisher,publisher,21
characters,performer,2102
director,director,2103
publisher,publisher,2104
characters,director,2105
publisher,publisher,2106
publisher,publisher,2138
performer,performer,2150
director,characters,2159
performer,performer,2177
publisher,publisher,2200
characters,director,2201
director,publisher,2203
characters,performer,2212
director,director,2213
director,director,2217
characters,characters,2221
characters,performer,2244
publisher,publisher,2247
publisher,publisher,2250
characters,performer,2259
director,director,2262
director,director,2263
performer,publisher,2265
characters,performer,227
director,performer,2270
characters,characters,2271
characters,publisher,2272
characters,performer,2275
performer,performer,228
performer,performer,229
characters,characters,23
publisher,publisher,2300
characters,director,2301
director,director,2308
director,director,2311
performer,performer,2321
publisher,publisher,2326
publisher,publisher,2328
director,director,2329
director,performer,2331
performer,performer,2345
director,publisher,2359
performer,performer,237
characters,performer,2370
publisher,publisher,2391
publisher,publisher,2397
director,director,241
characters,publisher,2413
director,director,2417
publisher,publisher,2435
publisher,publisher,2444
performer,performer,2446
characters,performer,2448
publisher,publisher,2451
director,director,2455
director,director,2459
director,director,2461
characters,characters,2476
director,director,2482
performer,performer,2485
characters,characters,2493
publisher,publisher,2494
characters,characters,2495
characters,characters,2502
publisher,publisher,2508
characters,characters,2519
publisher,publisher,2531
publisher,publisher,2533
publisher,publisher,2543
performer,performer,2548
performer,performer,2556
performer,performer,2568
publisher,characters,2575
characters,performer,2588
characters,performer,2590
publisher,publisher,2594
publisher,performer,2595
performer,performer,2598
director,director,260
performer,performer,2603
performer,performer,2604
performer,performer,2607
characters,characters,2620
publisher,publisher,2623
performer,director,2627
performer,performer,2628
director,director,2636
publisher,publisher,2638
performer,performer,265
publisher,publisher,2658
performer,performer,266
characters,publisher,2671
characters,publisher,2687
characters,characters,2689
publisher,publisher,2693
performer,performer,2694
characters,director,2714
characters,director,2720
director,director,2726
performer,director,2733
director,performer,2739
publisher,performer,2740
publisher,publisher,2774
characters,director,2780
publisher,publisher,2784
publisher,publisher,2790
characters,director,283
performer,performer,288
director,director,29
publisher,publisher,291
characters,characters,295
performer,performer,30
performer,performer,31
characters,characters,311
director,director,316
characters,publisher,349
performer,performer,358
performer,performer,365
characters,performer,37
performer,performer,371
publisher,publisher,379
director,publisher,381
performer,performer,383
performer,performer,387
performer,performer,392
characters,publisher,395
publisher,publisher,4
publisher,publisher,412
performer,performer,413
publisher,publisher,416
performer,performer,417
characters,performer,418
publisher,publisher,435
publisher,publisher,443
characters,characters,447
director,director,458
director,director,459
publisher,publisher,461
performer,performer,468
publisher,publisher,472
publisher,publisher,493
publisher,publisher,498
publisher,publisher,504
performer,performer,509
characters,director,514
performer,publisher,517
characters,characters,524
director,director,533
characters,characters,535
publisher,publisher,555
director,director,560
publisher,publisher,562
performer,performer,566
performer,publisher,570
director,director,578
director,director,581
performer,publisher,583
publisher,publisher,591
performer,performer,600
director,director,607
director,director,609
publisher,publisher,61
characters,characters,610
characters,performer,614
performer,performer,617
publisher,publisher,627
publisher,performer,631
characters,characters,642
performer,performer,643
director,director,652
director,director,664
characters,performer,668
characters,director,670
director,director,688
characters,director,692
characters,performer,701
performer,performer,71
publisher,publisher,715
director,director,72
performer,performer,726
characters,director,728
director,director,733
characters,publisher,735
director,director,742
characters,publisher,747
director,performer,757
publisher,publisher,762
performer,performer,763
director,director,766
publisher,publisher,771
performer,performer,775
characters,characters,777
performer,performer,782
publisher,publisher,792
director,director,794
characters,characters,798
performer,performer,8
performer,performer,80
characters,publisher,800
publisher,publisher,802
performer,performer,804
performer,performer,813
characters,director,816
characters,publisher,826
characters,performer,843
characters,director,844
publisher,publisher,845
performer,performer,855
director,director,857
performer,director,859
performer,performer,863
director,director,866
publisher,publisher,867
characters,publisher,869
performer,performer,874
director,director,892
characters,publisher,901
publisher,publisher,912
characters,publisher,926
performer,performer,936
director,director,937
characters,performer,940
characters,performer,946
director,director,954
director,director,956
publisher,performer,965
director,director,992
performer,director,999
